Nb,Sector,Type,magnet,Loop,nc,L,QS,Kvmax,R,u0,QEH,T2,CV1,CV2,P1,P4,T3,T1,Qbs,MassFlow,TC84x,TC94x
1,12,LSS,Q1Q2Q3,QRLGC_03R1_X47,2,35,3,0.26,32,9,LQXAA_01R1_EH847,LQXAA_01R1_TT847A,QRLGC_03R1_CV947,0,QRLGC_03R1_PT961,QRLGC_03R1_PT991,QRLGC_03R1_TT947,QRLGC_03R1_TT961,QRLGC_03R1_QBS947,QRLGC_03R1_FT947,LQXAA_01R1_TC847,QRLGC_03R1_TC947
2,12,LSS,D2Q4,QRLFC_04R1_X47,4,39,4,0.19,0,56,LQYCH_04R1_EH847,LQYCH_04R1_TT847A,QRLFC_04R1_CV947,0,QRLFC_04R1_PT961,QRLFC_04R1_PT991,QRLFC_04R1_TT947,QRLFC_04R1_TT961,QRLFC_04R1_QBS947,QRLFC_04R1_FT947,LQYCH_04R1_TC847,QRLFC_04R1_TC947
3,12,LSS,Q5,QRLEC_05R1_X47,4,16.44,4,0.25,0,50,LQNDC_05R1_EH847,LQYCH_04R1_TT847A,QRLEC_05R1_CV947,0,QRLEC_05R1_PT961,QRLEC_05R1_PT991,QRLEC_05R1_TT947,QRLEC_05R1_TT961,QRLEC_05R1_QBS947,QRLEC_05R1_FT947,LQNDC_05R1_TC847,QRLEC_05R1_TC947
4,12,LSS,Q6,QRLEC_06R1_X47,4,16.44,12,0.24,0,46,LQNDD_06R1_EH847,LQNDD_06R1_TT847A,QRLEC_06R1_CV947,0,QRLEC_06R1_PT961,QRLEC_06R1_PT991,QRLEC_06R1_TT947,QRLEC_06R1_TT961,QRLEC_06R1_QBS947,QRLEC_06R1_FT947,LQNDD_06R1_TC847,QRLEC_06R1_TC947
5,12,LSS,Q7,QRLCA_07R1_X43,4,40,7,0.22,41,10,LBBRF_08R1_EH843,LBBRF_08R1_TT843,QRLCA_07R1_CV943,QRLCA_07R1_CV947,QRLDA_07R1_PT961,QRLDA_07R1_PT991,QRLCA_07R1_TT943,QRLDA_07R1_TT961,QRLCA_07R1_QBS943,QRLCA_07R1_FT943,LBBRF_08R1_TC843,QRLCA_07R1_TC943
6,12,ARC,Q8,QRLBA_09R1_X47,4,45,7,0.39,53,11,LQNCE_08R1_EH847,LQNCE_08R1_TT847,QRLBA_09R1_CV947,0,QRLBA_09R1_PT961,QRLBA_09R1_PT991,QRLBA_09R1_TT947,QRLBA_09R1_TT961,QRLBA_09R1_QBS947,QRLBA_09R1_FT947,LQNCE_08R1_TC847,QRLBA_09R1_TC947
7,12,ARC,Q9,QRLBA_09R1_X43,4,45,7,0.39,45,9,LBBRF_10R1_EH843,LBBRF_10R1_TT843,QRLBA_09R1_CV943,0,QRLBA_09R1_PT961,QRLBA_09R1_PT991,QRLBA_09R1_TT943,QRLBA_09R1_TT961,QRLBA_09R1_QBS943,QRLBA_09R1_FT943,LBBRF_10R1_TC843,QRLBA_09R1_TC943
8,12,ARC,Q10,QRLAB_11R1_X47,4,45,7,0.39,51,10,LQNCE_10R1_EH847,LQNCE_10R1_TT847,QRLAB_11R1_CV947,0,QRLBA_09R1_PT961,QRLBA_09R1_PT991,QRLAB_11R1_TT947,QRLBA_09R1_TT961,QRLAB_11R1_QBS947,QRLAB_11R1_FT947,LQNCE_10R1_TC847,QRLAB_11R1_TC947
9,12,ARC,Q11,QRLAB_11R1_X43,4,53,7,0.39,40,10,LBARB_12R1_EH843,LBARB_12R1_TT843,QRLAB_11R1_CV943,0,QRLAA_13R1_PT961,QRLAA_13R1_PT991,QRLAB_11R1_TT943,QRLAA_13R1_TT961,QRLAB_11R1_QBS943,QRLAB_11R1_FT943,LBARB_12R1_TC843,QRLAB_11R1_TC943
10,12,ARC,Q12,QRLAA_13R1_X47,4,53,7,0.39,34,8,LQATH_12R1_EH847,LQATH_12R1_TT847,QRLAA_13R1_CV947,0,QRLAA_13R1_PT961,QRLAA_13R1_PT991,QRLAA_13R1_TT947,QRLAA_13R1_TT961,QRLAA_13R1_QBS947,QRLAA_13R1_FT947,LQATH_12R1_TC847,QRLAA_13R1_TC947
