Nb,Sector,Type,magnet,Loop,QEH,T2,CV1,CV2,P1,P4,T3,T1,QS,R,Kvmax,nc,L,Qbs,MassFlow
1,12,LSS,Q1Q2Q3,QRLGC_03R1_X47,LQXAA_01R1_EH847.POSST,LQXAA_01R1_TT847A.POSST,QRLGC_03R1_CV947.POSST,0,QRLGC_03R1_PT961.POSST,QRLGC_03R1_PT991.POSST,QRLGC_03R1_TT947.POSST,QRLGC_03R1_TT961.POSST,5,38,0.26,2,35,QRLGC_03R1_QBS947.POSST,QRLGC_03R1_FT947.POSST
2,12,LSS,D2Q4,QRLFC_04R1_X47,LQYCH_04R1_EH847.POSST,LQYCH_04R1_TT847A.POSST,QRLFC_04R1_CV947.POSST,0,QRLFC_04R1_PT961.POSST,QRLFC_04R1_PT991.POSST,QRLFC_04R1_TT947.POSST,QRLFC_04R1_TT961.POSST,7,60,0.05,4,19.42,QRLFC_04R1_QBS947.POSST,QRLFC_04R1_FT947.POSST
3,12,LSS,Q5,QRLEC_05R1_X47,LQNDC_05R1_EH847.POSST,LQYCH_04R1_TT847A.POSST,QRLEC_05R1_CV947.POSST,0,QRLEC_05R1_PT961.POSST,QRLEC_05R1_PT991.POSST,QRLEC_05R1_TT947.POSST,QRLEC_05R1_TT961.POSST,4,60,0.02,4,8.22,QRLEC_05R1_QBS947.POSST,QRLEC_05R1_FT947.POSST
4,12,LSS,Q6,QRLEC_06R1_X47,LQNDD_06R1_EH847.POSST,LQNDD_06R1_TT847A.POSST,QRLEC_06R1_CV947.POSST,0,QRLEC_06R1_PT961.POSST,QRLEC_06R1_PT991.POSST,QRLEC_06R1_TT947.POSST,QRLEC_06R1_TT961.POSST,20,60,0.02,4,8.22,QRLEC_06R1_QBS947.POSST,QRLEC_06R1_FT947.POSST
5,12,LSS,Q7,QRLCA_07R1_X43,LBBRF_08R1_EH843.POSST,LBBRF_08R1_TT843.POSST,QRLCA_07R1_CV943.POSST,QRLCA_07R1_CV947.POSST,QRLDA_07R1_PT961.POSST,QRLDA_07R1_PT991.POSST,QRLCA_07R1_TT943.POSST,QRLDA_07R1_TT961.POSST,6.3,30,0.22,4,40,QRLCA_07R1_QBS943.POSST,QRLCA_07R1_FT943.POSST
6,12,ARC,Q8,QRLBA_09R1_X47,LQNCE_08R1_EH847.POSST,LQNCE_08R1_TT847.POSST,QRLBA_09R1_CV947.POSST,0,QRLBA_09R1_PT961.POSST,QRLBA_09R1_PT991.POSST,QRLBA_09R1_TT947.POSST,QRLBA_09R1_TT961.POSST,5,56,0.39,4,45,QRLBA_09R1_QBS947.POSST,QRLBA_09R1_FT947.POSST
7,12,ARC,Q9,QRLBA_09R1_X43,LBBRF_10R1_EH843.POSST,LBBRF_10R1_TT843.POSST,QRLBA_09R1_CV943.POSST,0,QRLBA_09R1_PT961.POSST,QRLBA_09R1_PT991.POSST,QRLBA_09R1_TT943.POSST,QRLBA_09R1_TT961.POSST,5,44,0.39,4,45,QRLBA_09R1_QBS943.POSST,QRLBA_09R1_FT943.POSST
8,12,ARC,Q10,QRLAB_11R1_X47,LQNCE_10R1_EH847.POSST,LQNCE_10R1_TT847.POSST,QRLAB_11R1_CV947.POSST,0,QRLBA_09R1_PT961.POSST,QRLBA_09R1_PT991.POSST,QRLAB_11R1_TT947.POSST,QRLBA_09R1_TT961.POSST,5,65,0.39,4,45,QRLAB_11R1_QBS947.POSST,QRLAB_11R1_FT947.POSST
9,12,ARC,Q11,QRLAB_11R1_X43,LBARB_12R1_EH843.POSST,LBARB_12R1_TT843.POSST,QRLAB_11R1_CV943.POSST,0,QRLAA_13R1_PT961.POSST,QRLAA_13R1_PT991.POSST,QRLAB_11R1_TT943.POSST,QRLAA_13R1_TT961.POSST,5,47,0.39,4,53,QRLAB_11R1_QBS943.POSST,QRLAB_11R1_FT943.POSST
10,12,ARC,Q12,QRLAA_13R1_X47,LQATH_12R1_EH847.POSST,LQATH_12R1_TT847.POSST,QRLAA_13R1_CV947.POSST,0,QRLAA_13R1_PT961.POSST,QRLAA_13R1_PT991.POSST,QRLAA_13R1_TT947.POSST,QRLAA_13R1_TT961.POSST,5,40,0.39,4,53,QRLAA_13R1_QBS947.POSST,QRLAA_13R1_FT947.POSST
